be_atr,daily_profit,daily_loss,net_pnl,sharpe,calmar,profit_factor,win_rate,max_drawdown,total_trades,apex_min_headroom
1,0,500,8520.439999999926,2.4560839493634727,4.392844867488177,1.1494179664072433,30.89430894308943,-3173.9199999999983,1107,-692.9599999999991
0,0,500,8046.319999999823,2.415263487912155,4.432517793267383,1.1252169344577791,36.615678776290636,-2970.4800000000614,1046,466.320000000007
0,400,500,5821.16000000005,1.9997928072617157,2.9038784937428046,1.1238009439323269,38.033635187580856,-3280.2799999999916,773,345.4400000000096
1,0,0,6631.400000000071,1.6944697553926922,3.446195953436851,1.1012670521841283,30.44176706827309,-3148.7999999999956,1245,182.92000000000553
1,400,500,4854.480000000035,1.66045634715889,2.578418400648715,1.1138514476982433,31.746031746031743,-3080.840000000004,819,-599.8799999999974
0,0,0,5690.4800000000805,1.389973402879385,2.2014294974407322,1.0730062757007894,35.61093247588424,-4229.839999999989,1244,517.560000000005
0,400,0,3849.8000000000625,1.0224230127563603,1.451015931433135,1.0638220132067049,36.68393782383419,-4341.55999999999,965,-120.7999999999738
1,400,0,2965.4400000000446,0.8642566267844844,1.3681299922799623,1.0580334567543668,31.03448275862069,-3546.8399999999965,957,-133.07999999999447
