direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
short,1,2026-01-12T18:58:47.648000,2026-01-12T21:05:22.604000,25894.5000,25897.0000,-6.04,1.04,-10.50,97.00,short,eod
long,1,2026-01-13T15:59:45.324000,2026-01-13T21:09:46.928000,25907.0000,25879.2500,-56.54,1.04,-68.00,39.50,long,eod
short,1,2026-01-14T14:31:19.080000,2026-01-14T15:07:47.368000,25526.2500,25582.0000,-112.54,1.04,-111.50,128.00,short,reverse
long,1,2026-01-14T15:07:47.828000,2026-01-14T16:54:33.396000,25583.0000,25558.2500,-50.54,1.04,-126.00,151.00,long,reverse
short,1,2026-01-14T16:54:33.448000,2026-01-14T21:15:56.036000,25556.0000,25633.5000,-156.04,1.04,-175.00,7.50,short,eod
long,1,2026-01-15T14:30:09.232000,2026-01-15T15:21:21.196000,25791.5000,25695.0000,-194.04,1.04,-193.00,26.50,long,reverse
short,1,2026-01-15T15:21:22.416000,2026-01-15T21:08:16.016000,25694.0000,25785.7500,-184.54,1.04,-184.00,26.50,short,reverse
long,1,2026-01-15T21:10:55.596000,2026-01-15T21:35:04.768000,25786.5000,25796.2500,18.46,1.04,-12.50,21.00,long,eod
short,1,2026-01-16T16:08:08.868000,2026-01-16T16:10:55.468000,25680.2500,25672.0000,15.46,1.04,-1.50,18.00,short,eod
long,1,2026-01-19T20:37:21.872000,2026-01-19T21:48:40.248000,25426.7500,25434.5000,14.46,1.04,-70.50,24.00,long,eod
short,1,2026-01-20T14:30:56.472000,2026-01-20T20:20:22.676000,25150.0000,25208.0000,-117.04,1.04,-116.00,102.00,short,reverse
long,1,2026-01-20T20:21:39.908000,2026-01-20T21:35:02.480000,25209.0000,25168.0000,-83.04,1.04,-82.00,19.50,long,eod
short,1,2026-01-21T15:18:46.168000,2026-01-21T18:00:06.260000,25551.7500,25548.5000,5.46,1.04,-23.50,212.00,short,reverse
long,1,2026-01-21T18:00:06.536000,2026-01-21T21:11:39.700000,25549.2500,25602.0000,104.46,1.04,-52.50,106.00,long,eod
short,1,2026-01-25T18:00:00.156000,2026-01-25T18:16:05.596000,25590.0000,25501.5000,175.96,1.04,-1.00,381.00,short,reverse
long,1,2026-01-25T18:17:13.308000,2026-01-25T21:48:12.340000,25503.0000,25598.7500,190.46,1.04,-20.00,332.50,long,eod
short,1,2026-01-28T14:30:00.876000,2026-01-28T16:07:22.704000,26118.5000,26097.5000,40.96,1.04,-187.00,244.50,short,reverse
long,1,2026-01-28T16:07:22.844000,2026-01-28T18:14:31.880000,26098.2500,26191.0000,184.46,1.04,-10.50,392.50,long,reverse
short,1,2026-01-28T18:14:31.908000,2026-01-28T21:30:21.800000,26189.5000,26176.5000,24.96,1.04,-108.50,207.50,short,eod
long,1,2026-01-29T15:52:30.100000,2026-01-29T18:11:30.016000,25964.7500,25937.0000,-56.54,1.04,-55.50,151.00,long,reverse
