time,open,high,low,close,volume
2026-05-06 00:00:18.600,28312.5,28315,28312.5,28315,96
2026-05-06 00:02:53.336,28307.5,28317.5,28307.5,28317.5,445
2026-05-06 00:06:34.560,28310,28320,28310,28320,819
2026-05-06 00:06:52.780,28312.5,28322.5,28312.5,28322.5,241
2026-05-06 00:15:00.732,28315,28325,28313.75,28325,2456
2026-05-06 00:27:26.296,28317.5,28327.5,28317.5,28327.5,2459
2026-05-06 00:27:50.832,28320,28330,28320,28330,387
2026-05-06 00:32:25.180,28322.5,28332.5,28322.5,28332.5,1236
2026-05-06 00:38:42.004,28325,28333,28315,28315,2468
2026-05-06 00:41:45.736,28322.5,28322.5,28312.5,28312.5,919
2026-05-06 00:46:52.388,28320,28330,28312,28330,1741
2026-05-06 00:47:01.484,28322.5,28332.5,28322.5,28332.5,138
2026-05-06 00:47:12.932,28325,28335,28325,28335,173
2026-05-06 00:47:12.984,28327.5,28337.5,28327.5,28337.5,141
2026-05-06 00:48:44.272,28330,28340,28330,28340,936
2026-05-06 00:50:38.108,28332.5,28342.5,28332.5,28342.5,627
2026-05-06 01:08:33.388,28335,28345,28328.5,28345,6024
2026-05-06 01:09:00.448,28337.5,28347.5,28337.5,28347.5,223
2026-05-06 01:16:04.884,28340,28349,28330,28330,2225
2026-05-06 01:16:22.964,28337.5,28337.5,28327.5,28327.5,303
2026-05-06 01:27:46.412,28335,28345,28326,28345,2975
2026-05-06 01:28:50.244,28337.5,28347.5,28337.5,28347.5,287
2026-05-06 01:49:14.476,28340,28350,28330.75,28350,5018
2026-05-06 01:50:53.596,28342.5,28352.5,28342.5,28352.5,592
2026-05-06 01:56:42.120,28345,28355,28344,28355,1738
2026-05-06 01:58:59.288,28347.5,28357.5,28347.5,28357.5,969
2026-05-06 02:00:18.316,28350,28360,28350,28360,533
2026-05-06 02:00:20.472,28352.5,28362.5,28352.5,28362.5,99
2026-05-06 02:00:22.732,28355,28365,28355,28365,154
2026-05-06 02:00:59.440,28357.5,28367.5,28357.5,28367.5,641
2026-05-06 02:05:57.540,28360,28368.5,28350,28350,2410
2026-05-06 02:05:59.960,28357.5,28357.5,28347.5,28347.5,117
2026-05-06 02:06:10.044,28355,28355,28345,28345,240
2026-05-06 02:07:23.680,28352.5,28352.5,28342.5,28342.5,597
2026-05-06 02:07:48.376,28350,28350,28340,28340,238
2026-05-06 02:07:55.808,28347.5,28347.5,28337.5,28337.5,131
2026-05-06 02:09:00.876,28345,28345,28335,28335,716
2026-05-06 02:12:08.604,28342.5,28342.5,28332.5,28332.5,1106
2026-05-06 02:12:39.688,28340,28340,28330,28330,263
2026-05-06 02:12:46.492,28337.5,28337.5,28327.5,28327.5,142
2026-05-06 02:17:32.060,28335,28336,28325,28325,1844
2026-05-06 02:20:03.072,28332.5,28332.5,28322.5,28322.5,1032
2026-05-06 02:21:15.132,28330,28330,28320,28320,738
2026-05-06 02:28:54.252,28327.5,28337.5,28318,28337.5,2527
2026-05-06 02:40:00.404,28330,28340,28321,28340,4173
2026-05-06 02:41:04.976,28332.5,28342.5,28332.5,28342.5,527
2026-05-06 02:42:00.152,28335,28343,28325,28325,1143
2026-05-06 02:42:00.184,28332.5,28332.5,28322.5,28322.5,49
2026-05-06 02:42:00.196,28330,28330,28320,28320,34
2026-05-06 02:42:00.216,28327.5,28327.5,28317.5,28317.5,63
2026-05-06 02:42:00.216,28325,28325,28315,28315,106
2026-05-06 02:42:07.508,28322.5,28323.75,28312.5,28312.5,783
2026-05-06 02:42:07.520,28320,28320,28310,28310,80
2026-05-06 02:42:07.632,28317.5,28317.5,28307.5,28307.5,77
2026-05-06 02:42:07.636,28315,28315,28305,28305,87
2026-05-06 02:42:08.716,28312.5,28312.5,28302.5,28302.5,218
2026-05-06 02:42:44.940,28310,28320,28300,28320,1896
2026-05-06 02:43:18.884,28312.5,28322.5,28312.5,28322.5,652
2026-05-06 02:44:09.272,28315,28325,28315,28325,422
2026-05-06 02:44:21.820,28317.5,28327.5,28317.5,28327.5,154
2026-05-06 02:46:23.632,28320,28330,28320,28330,971
2026-05-06 02:50:51.744,28322.5,28332.5,28312.5,28312.5,1745
2026-05-06 02:57:10.356,28320,28330,28312,28330,1652
2026-05-06 02:58:12.028,28322.5,28332.5,28322.5,28332.5,351
2026-05-06 02:58:49.052,28325,28335,28325,28335,301
2026-05-06 03:00:00.216,28327.5,28337.5,28327.5,28337.5,455
2026-05-06 03:04:03.540,28330,28340,28324,28340,2239
